timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-08-01T08:48	baseline	ashare-data	-	86.7	baseline	-	初始九维评估；dim3/dim9满分；dim1缺trigger、dim7篇幅冗为短板	dry_run
2026-08-01T08:52	fulltest	ashare-data	-	-	measure	dim8	3个测试prompt真实跑通：search定码+MATCH/ird-interact 76条处理未回复/cls-telegraph实时errno=0，dim8由dry_run升full_test	full_test
2026-08-01T08:54	round1	ashare-data	86.7	90.3	keep	dim1+dim7+dim8	补triggers触发词字段/收敛12命令内联枚举为权威清单指针/dim8三个prompt真实跑通升full_test	full_test
2026-08-02T23:57	9daebef	full-company-analysis	-	85.7	baseline	-	v3.4.1 九维基线：dim3/dim5/dim9 满分档；短板 dim4 检查点（全自动设计下无显性标记，E1 用户确认为唯一人工点）、dim6 distillation-guide 悬空引用（仓库内不可达，存在于 ~/.workbuddy/skills/deep-summary/references/）、dim1 description 缺触发词；dim8 以命令-实现一致性 grep 验证 + 历史 run 实证，dry_run	dry_run
2026-08-03T00:02	fulltest	full-company-analysis	85.7	86.9	measure	dim8	绿的谐波 run-36fa1d00 (21:35启动, v3.3.11时代) 实证：13单元全PASS/audit 0 violation/REVIEW_PASSED 8skill 16low/HTML+summary齐备→端到端流程真实可跑通升full_test；但W3混编致 investment-team abandoned+6单元rework(语义评审medium修复)+墙钟126min，恰为v3.4.1错峰纪律要消灭的失败模式，错峰净收益声明待v3.4.1后run验证	full_test
2026-08-03T00:05	8f5fb77	full-company-analysis	86.9	91.0	keep	dim1+dim4+dim6	触发词三枚（dim1 5.6→6.3）/🔴CHECKPOINT显性标记不阻塞全自动（dim4 3.9→4.5）/distillation-guide绝对路径+fallback（dim6 3.0→3.6）；dim8 已 full_test 19.6；check.sh 全绿 655 tests；体积+1.3%	full_test
2026-08-03T00:06	654df2d	full-company-analysis	91.0	91.9	keep	dim4	增补两处非阻塞显性CHECKPOINT：budget触顶(必报用户)+doctor WARN(人工复核且复核结论记入events.jsonl)；共3处CHECKPOINT全为真实人工决策点且不违背全自动原则；check.sh全绿；体积+2.5%	full_test
2026-08-03T00:08	163e292	full-company-analysis	91.9	92.3	keep	dim2	启动章节重构为6步编号流程：声明输入(公司名+代码+日期)/输出(run_root)+定基线/E1版本校验/启动/核对落盘/核对预算/E10兜底；dim2 11.4→11.8；check.sh全绿；体积+2.9%	full_test
2026-08-03T00:15	re-score	full-company-analysis	-	93.1	re-eval	-	独立复评（不参考上次结果）：全新视角重读终版文件+全部指标重测；软化词0处/空话0处/触发词1/CHECKPOINT 3/红灯0/资源7项全可达/18命令CLI实测全一致；dim5 16.6、dim6 3.8、dim7 11.6 微调；总分 93.1（与上次 92.3 差 +0.8，系打分视角差异非文件变化）	full_test
2026-08-03T07:55	errata	full-company-analysis	-	-	errata	dim8归因	勘误：fulltest 行验证对象为 v3.3.11 时代 run（contract_commit=1ef23e8），仅证明文档流程与产物一致，不验证错峰纪律；93.1 系文档终版评分。CHANGELOG v3.4.2 措辞已修正	dry_run
2026-08-03T08:45	331d36b	full-company-analysis	93.1	93.4	re-eval	-	v3.4.4 独立复评（不参考上次分数）：全新视角重读终版文件+全部指标重测。dim1 9.5/dim2 9.5/dim3 10.0（失败模式编码满分——E1机器门禁/budget-adjust CLI/event-log CLI/429降级/租约孤儿恢复/编辑返工链全部可执行）/dim4 9.0（3 CHECKPOINT+E10机器门禁）/dim5 10.0（零软化词+全部CLI逐字可执行+allowlist命令逐字接线）/dim6 9.0/dim7 9.5/dim8 9.2（664测试全绿+9项v3.4.4特性实测+22/22 CLI可达+E1门禁5场景，full_test；端到端run错峰净收益待新run复验）/dim9 8.0（反例遍布全文但无独立章节）。总分93.4（+0.3 vs v3.4.2终评93.1）。 runtime中立性扫描CLEAN（0红灯）。	full_test
2026-08-03T08:50	030933f	full-company-analysis	93.4	94.3	keep	dim9	dim9 补齐：新增 🚫禁止事项清单独立章节（33条红灯规则，A-E五分类：派发并行/报告证据/审计返工/数据基线/路径格式），每条编号禁-1~禁-33含后果说明与原文位置交叉引用。dim9 8.0→9.5（+1.5），总分 93.4→94.3（+0.9）。check.sh全绿，三副本一致，体积+132026-08-03T08:50	030933f	full-company-analysis	93.4	94.3	keep	dim9	dim9 补齐：新增禁止事项清单独立章节（33条红灯规则，A-E五分类：派发并行/报告证据/审计返工/数据基线/路径格式），每条编号含后果说明与原文位置交叉引用。dim9 8.0→9.5（+1.5），总分 93.4→94.3（+0.9）。check.sh全绿，三副本一致，体积+13%（46KB，<150%上限）。	full_test
